Bank Number	Pad Number Orientation	Pin/Pad Function	Optional Function(s)	256-Pin FBGA	324-Pin FBGA
B1	0	VCCIO1			
B1	1	GNDIO			
B1	2	IO			C2
B1	3	IO		D3	C3
B1	4	IO		C2	D2
	5	VCCINT			
B1	6	IO			D1
B1	7	IO			D3
B1	8	IO		C3	E2
B1	9	IO		E3	D4
B1	10	IO		D2	E1
B1	11	IO		E4	E3
B1	12	IO		D1	F3
B1	13	IO		E5	E4
B1	14	IO		E2	F2
B1	15	VCCIO1			
B1	16	GNDIO			
B1	17	IO			E5
B1	18	IO			F1
B1	19	IO			F4
B1	20	IO			G3
B1	21	IO			F5
B1	22	IO			G2
B1	23	IO		F3	F6
B1	24	IO		E1	G1
B1	25	IO		F4	G4
B1	26	IO		F2	H3
B1	27	IO		F5	G5
B1	28	IO		F1	H2
B1	29	IO		F6	G6
B1	30	IO		G2	H1
B1	31	IO		G3	G7
B1	32	IO		G1	J3
B1	33	VCCIO1			
B1	34	GNDIO			
B1	35	IO		G4	H4
B1	36	IO		H2	J2
B1	37	IO		G5	H5
B1	38	IO		H1	J1
B1	39	IO		H3	H6
B1	40	IO		J1	K1
	41	GNDINT			
B1	42	IO	GCLK0	H5	J6
	43	VCCINT			
B1	44	IO	GCLK1	J5	K6
B1	45	IO		H4	J4
B1	46	IO		J2	K2
B1	47	IO		J4	J5
B1	48	IO		K1	K3
B1	49	IO			K5
B1	50	IO			L1
B1	51	VCCIO1			
B1	52	GNDIO			
B1	53	IO		J3	K4
B1	54	IO		K2	L2
B1	55	IO		K5	L6
B1	56	IO		L1	L3
B1	57	IO		K4	L5
B1	58	IO			M1
B1	59	IO			L4
B1	60	IO		L2	M2
B1	61	IO		K3	M6
B1	62	IO		M1	M3
B1	63	IO		L5	M5
B1	64	IO		M2	N1
B1	65	IO		L4	M4
B1	66	IO			N2
B1	67	IO		L3	N5
B1	68	IO			N3
B1	69	VCCIO1			
B1	70	GNDIO			
B1	71	IO			N4
B1	72	IO		N1	P1
B1	73	IO		M4	P4
B1	74	IO		N2	P2
B1	75	IO		M3	P3
B1	76	IO			R1
	77	GNDINT			
B1	78	IO		N3	R2
